gene,drug,action
pharmgkb:PA164746560,pharmgkb:PA37042,dbv:agonist
pharmgkb:PA164747674,pharmgkb:PA30357,dbv:agonist
pharmgkb:PA164750168,pharmgkb:PA26046,dbv:chaperone
pharmgkb:PA164750168,pharmgkb:PA26055,dbv:chaperone
pharmgkb:PA164748137,pharmgkb:PA24583,dbv:antagonist
pharmgkb:PA164747674,pharmgkb:PA28800,dbv:agonist
pharmgkb:PA164754884,pharmgkb:PA28064,dbv:antagonist
pharmgkb:PA164754884,pharmgkb:PA142671774,dbv:antagonist
pharmgkb:PA164748631,pharmgkb:PA26939,dbv:agonist
pharmgkb:PA164760844,pharmgkb:PA35018,dbv:agonist
pharmgkb:PA164749110,pharmgkb:PA28676,dbv:agonist
pharmgkb:PA164750168,pharmgkb:PA233,dbv:modulator
pharmgkb:PA164781387,pharmgkb:PA26942,dbv:agonist
pharmgkb:PA164750168,pharmgkb:PA33280,dbv:antagonist
pharmgkb:PA164750168,pharmgkb:PA164744952,dbv:cofactor
pharmgkb:PA164750168,pharmgkb:PA27954,dbv:cofactor
pharmgkb:PA164750168,pharmgkb:PA27940,dbv:activator
pharmgkb:PA451836,pharmgkb:PA33405,dbv:activator
pharmgkb:PA164743728,pharmgkb:PA33405,dbv:activator
pharmgkb:PA164769075,pharmgkb:PA33405,dbv:activator
pharmgkb:PA164744571,pharmgkb:PA202,dbv:agonist
pharmgkb:PA164750168,pharmgkb:PA29504,dbv:chaperone
pharmgkb:PA164754884,pharmgkb:PA28060,dbv:antagonist
pharmgkb:PA164754884,pharmgkb:PA28063,dbv:antagonist
pharmgkb:PA10799,pharmgkb:PA29809,dbv:antagonist
pharmgkb:PA164748631,pharmgkb:PA26938,dbv:agonist
pharmgkb:PA164746538,pharmgkb:PA29670,dbv:agonist
pharmgkb:PA164746228,pharmgkb:PA29670,dbv:agonist
pharmgkb:PA164784024,pharmgkb:PA29670,dbv:agonist
pharmgkb:PA164743138,pharmgkb:PA27834,dbv:agonist
pharmgkb:PA10072,pharmgkb:PA27834,dbv:agonist
pharmgkb:PA449758,pharmgkb:PA28727,dbv:antagonist
pharmgkb:PA449758,pharmgkb:PA310,dbv:inhibitor
pharmgkb:PA164748631,pharmgkb:PA29831,dbv:agonist
pharmgkb:PA448715,pharmgkb:PA26032,dbv:agonist
pharmgkb:PA164748631,pharmgkb:PA35589,dbv:agonist
pharmgkb:PA164746538,pharmgkb:PA29671,dbv:agonist
pharmgkb:PA164746228,pharmgkb:PA29671,dbv:agonist
pharmgkb:PA164784024,pharmgkb:PA29671,dbv:agonist
pharmgkb:PA164750168,pharmgkb:PA30399,dbv:chaperone
pharmgkb:PA164748137,pharmgkb:PA33126,dbv:inhibitor
pharmgkb:PA164750168,pharmgkb:PA134925788,dbv:modulator
pharmgkb:PA164754884,pharmgkb:PA28061,dbv:antagonist
pharmgkb:PA164750168,pharmgkb:PA25043,dbv:binder
pharmgkb:PA451698,pharmgkb:PA29938,dbv:antagonist
pharmgkb:PA450864,pharmgkb:PA33132,dbv:inhibitor
pharmgkb:PA449899,pharmgkb:PA25984,dbv:inhibitor
pharmgkb:PA449899,pharmgkb:PA25989,dbv:inhibitor
pharmgkb:PA449688,pharmgkb:PA189,dbv:inhibitor
pharmgkb:PA134308647,pharmgkb:PA189,dbv:inhibitor
pharmgkb:PA164744013,pharmgkb:PA181,dbv:agonist
pharmgkb:PA450966,pharmgkb:PA38,dbv:partial-agonist
pharmgkb:PA448383,pharmgkb:PA38,dbv:antagonist
pharmgkb:PA449899,pharmgkb:PA25991,dbv:inhibitor
pharmgkb:PA450864,pharmgkb:PA33128,dbv:inhibitor
pharmgkb:PA450864,pharmgkb:PA24583,dbv:antagonist
pharmgkb:PA451344,pharmgkb:PA312,dbv:inhibitor
pharmgkb:PA450600,pharmgkb:PA281,dbv:agonist
pharmgkb:PA164774902,pharmgkb:PA213,dbv:inhibitor
pharmgkb:PA449899,pharmgkb:PA321,dbv:inhibitor
pharmgkb:PA450864,pharmgkb:PA33129,dbv:inhibitor
pharmgkb:PA448966,pharmgkb:PA24395,dbv:inhibitor
pharmgkb:PA450600,pharmgkb:PA24395,dbv:inhibitor
pharmgkb:PA449899,pharmgkb:PA220,dbv:other-unknown
pharmgkb:PA449027,pharmgkb:PA390,dbv:substrate
pharmgkb:PA449027,pharmgkb:PA331,dbv:substrate
pharmgkb:PA449977,pharmgkb:PA329,dbv:inhibitor
pharmgkb:PA449027,pharmgkb:PA329,dbv:substrate
pharmgkb:PA449899,pharmgkb:PA25987,dbv:inhibitor
pharmgkb:PA451698,pharmgkb:PA205,dbv:antagonist
pharmgkb:PA450966,pharmgkb:PA39,dbv:partial-agonist
pharmgkb:PA449977,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449977,pharmgkb:PA267,dbv:inducer
pharmgkb:PA449977,pharmgkb:PA267,dbv:substrate
pharmgkb:PA450272,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA450966,pharmgkb:PA192,dbv:antagonist
pharmgkb:PA450864,pharmgkb:PA31804,dbv:inhibitor
pharmgkb:PA450149,pharmgkb:PA24346,dbv:inhibitor
pharmgkb:PA451344,pharmgkb:PA310,dbv:inhibitor
pharmgkb:PA450966,pharmgkb:PA29549,dbv:other-unknown
pharmgkb:PA450864,pharmgkb:PA24584,dbv:antagonist
pharmgkb:PA450268,pharmgkb:PA43,dbv:antagonist
pharmgkb:PA449977,pharmgkb:PA244,dbv:inhibitor
pharmgkb:PA450149,pharmgkb:PA293,dbv:inhibitor
pharmgkb:PA449977,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA450272,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA451344,pharmgkb:PA311,dbv:inhibitor
pharmgkb:PA449899,pharmgkb:PA25998,dbv:inhibitor
pharmgkb:PA449977,pharmgkb:PA116,dbv:substrate
pharmgkb:PA450272,pharmgkb:PA116,dbv:substrate
pharmgkb:PA451906,pharmgkb:PA133787052,dbv:inhibitor
pharmgkb:PA449053,pharmgkb:PA134971947,dbv:antagonist
pharmgkb:PA449977,pharmgkb:PA134865839,dbv:inhibitor
pharmgkb:PA450272,pharmgkb:PA134865839,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA125,dbv:inhibitor
pharmgkb:PA448383,pharmgkb:PA125,dbv:substrate
pharmgkb:PA451550,pharmgkb:PA125,dbv:substrate
pharmgkb:PA449167,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA450603,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA450603,pharmgkb:PA128,dbv:substrate
pharmgkb:PA448687,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA448687,pharmgkb:PA128,dbv:substrate
pharmgkb:PA451550,pharmgkb:PA397,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA397,dbv:inhibitor
pharmgkb:PA451954,pharmgkb:PA397,dbv:substrate
pharmgkb:PA450149,pharmgkb:PA397,dbv:inhibitor
pharmgkb:PA164749630,pharmgkb:PA28743,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA318,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA131301952,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA131301952,pharmgkb:PA390,dbv:substrate
pharmgkb:PA450704,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA390,dbv:inducer
pharmgkb:PA451954,pharmgkb:PA390,dbv:substrate
pharmgkb:PA451260,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA164749630,pharmgkb:PA25294,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA131,dbv:inducer
pharmgkb:PA449167,pharmgkb:PA131,dbv:substrate
pharmgkb:PA450603,pharmgkb:PA131,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA122,dbv:inducer
pharmgkb:PA449167,pharmgkb:PA122,dbv:substrate
pharmgkb:PA448383,pharmgkb:PA122,dbv:inhibitor
pharmgkb:PA450603,pharmgkb:PA122,dbv:inhibitor
pharmgkb:PA164749630,pharmgkb:PA127,dbv:inhibitor
pharmgkb:PA164749630,pharmgkb:PA124,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA124,dbv:inhibitor
pharmgkb:PA448383,pharmgkb:PA124,dbv:substrate
pharmgkb:PA451822,pharmgkb:PA35814,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA328,dbv:substrate
pharmgkb:PA450149,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA317,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA317,dbv:substrate
pharmgkb:PA449167,pharmgkb:PA24392,dbv:inhibitor
pharmgkb:PA450423,pharmgkb:PA38197,dbv:inhibitor
pharmgkb:PA451822,pharmgkb:PA38197,dbv:inhibitor
pharmgkb:PA449176,pharmgkb:PA38197,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA116,dbv:inhibitor
pharmgkb:PA451550,pharmgkb:PA116,dbv:inhibitor
pharmgkb:PA451550,pharmgkb:PA116,dbv:substrate
pharmgkb:PA449982,pharmgkb:PA116,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA116,dbv:substrate
pharmgkb:PA451260,pharmgkb:PA116,dbv:inducer
pharmgkb:PA451260,pharmgkb:PA116,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA24503,dbv:inhibitor
pharmgkb:PA451647,pharmgkb:PA24503,dbv:inducer
pharmgkb:PA451647,pharmgkb:PA125,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA128,dbv:substrate
pharmgkb:PA451686,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA451686,pharmgkb:PA128,dbv:substrate
pharmgkb:PA164748976,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA164746757,pharmgkb:PA128,dbv:substrate
pharmgkb:PA164769056,pharmgkb:PA128,dbv:substrate
pharmgkb:PA449748,pharmgkb:PA426,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA27092,dbv:inhibitor
pharmgkb:PA451647,pharmgkb:PA27092,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA130,dbv:substrate
pharmgkb:PA450947,pharmgkb:PA130,dbv:inducer
pharmgkb:PA450947,pharmgkb:PA130,dbv:substrate
pharmgkb:PA451686,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA451686,pharmgkb:PA130,dbv:substrate
pharmgkb:PA164746757,pharmgkb:PA130,dbv:substrate
pharmgkb:PA164769056,pharmgkb:PA130,dbv:substrate
pharmgkb:PA451743,pharmgkb:PA27091,dbv:inhibitor
pharmgkb:PA451647,pharmgkb:PA27094,dbv:substrate
pharmgkb:PA164745713,pharmgkb:PA164743293,dbv:inhibitor
pharmgkb:PA164746470,pharmgkb:PA164743293,dbv:other-unknown
pharmgkb:PA164745713,pharmgkb:PA164752827,dbv:inhibitor
pharmgkb:PA164746470,pharmgkb:PA164752827,dbv:other-unknown
pharmgkb:PA164745713,pharmgkb:PA164749380,dbv:inhibitor
pharmgkb:PA164746470,pharmgkb:PA164749380,dbv:other-unknown
pharmgkb:PA164745713,pharmgkb:PA24690,dbv:inhibitor
pharmgkb:PA164746470,pharmgkb:PA24690,dbv:other-unknown
pharmgkb:PA10032,pharmgkb:PA243,dbv:inhibitor
pharmgkb:PA451686,pharmgkb:PA243,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA27093,dbv:inhibitor
pharmgkb:PA451647,pharmgkb:PA27093,dbv:substrate
pharmgkb:PA164744571,pharmgkb:PA27093,dbv:inducer
pharmgkb:PA451686,pharmgkb:PA27093,dbv:inhibitor
pharmgkb:PA451644,pharmgkb:PA27093,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA129,dbv:substrate
pharmgkb:PA451686,pharmgkb:PA129,dbv:inhibitor
pharmgkb:PA451644,pharmgkb:PA129,dbv:substrate
pharmgkb:PA449748,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA126,dbv:substrate
pharmgkb:PA164768801,pharmgkb:PA126,dbv:substrate
pharmgkb:PA451686,pharmgkb:PA126,dbv:inhibitor
pharmgkb:PA164746757,pharmgkb:PA126,dbv:substrate
pharmgkb:PA451644,pharmgkb:PA126,dbv:substrate
pharmgkb:PA450947,pharmgkb:PA131,dbv:inducer
pharmgkb:PA451644,pharmgkb:PA131,dbv:inducer
pharmgkb:PA449237,pharmgkb:PA24346,dbv:inducer
pharmgkb:PA451644,pharmgkb:PA24346,dbv:substrate
pharmgkb:PA449748,pharmgkb:PA137,dbv:substrate
pharmgkb:PA449748,pharmgkb:PA98,dbv:substrate
pharmgkb:PA449515,pharmgkb:PA293,dbv:inhibitor
pharmgkb:PA449237,pharmgkb:PA293,dbv:inducer
pharmgkb:PA451644,pharmgkb:PA293,dbv:antagonist
pharmgkb:PA451644,pharmgkb:PA293,dbv:substrate
pharmgkb:PA449748,pharmgkb:PA24392,dbv:substrate
pharmgkb:PA449748,pharmgkb:PA154,dbv:substrate
pharmgkb:PA451647,pharmgkb:PA35848,dbv:inhibitor
pharmgkb:PA449027,pharmgkb:PA299,dbv:inhibitor
pharmgkb:PA450644,pharmgkb:PA31736,dbv:agonist
pharmgkb:PA451974,pharmgkb:PA36,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA37,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA27480,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA29561,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA29555,dbv:antagonist
pharmgkb:PA449027,pharmgkb:PA278,dbv:inhibitor
pharmgkb:PA449027,pharmgkb:PA277,dbv:inhibitor
pharmgkb:PA449027,pharmgkb:PA38677,dbv:inhibitor
pharmgkb:PA451974,pharmgkb:PA26485,dbv:antagonist
pharmgkb:PA164747026,pharmgkb:PA26485,dbv:antagonist
pharmgkb:PA164746757,pharmgkb:PA26485,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA26486,dbv:antagonist
pharmgkb:PA164747026,pharmgkb:PA26486,dbv:antagonist
pharmgkb:PA164746757,pharmgkb:PA26486,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA35,dbv:antagonist
pharmgkb:PA448695,pharmgkb:PA28489,dbv:potentiator
pharmgkb:PA451974,pharmgkb:PA29550,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA29549,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA33,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA27479,dbv:antagonist
pharmgkb:PA450947,pharmgkb:PA301,dbv:inhibitor
pharmgkb:PA451974,pharmgkb:PA29560,dbv:antagonist
pharmgkb:PA448695,pharmgkb:PA28494,dbv:potentiator
pharmgkb:PA449027,pharmgkb:PA34866,dbv:inhibitor
pharmgkb:PA450272,pharmgkb:PA29227,dbv:other
pharmgkb:PA449027,pharmgkb:PA33499,dbv:inhibitor
pharmgkb:PA164743463,pharmgkb:PA28498,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28498,dbv:positive-allosteric-modulator
pharmgkb:PA449027,pharmgkb:PA31694,dbv:inducer
pharmgkb:PA164743463,pharmgkb:PA28495,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28495,dbv:positive-allosteric-modulator
pharmgkb:PA164743463,pharmgkb:PA28501,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28501,dbv:positive-allosteric-modulator
pharmgkb:PA451974,pharmgkb:PA148,dbv:antagonist
pharmgkb:PA164743463,pharmgkb:PA28493,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28493,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28493,dbv:potentiator
pharmgkb:PA164743463,pharmgkb:PA28491,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28491,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28491,dbv:potentiator
pharmgkb:PA164743463,pharmgkb:PA28490,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28490,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28490,dbv:potentiator
pharmgkb:PA164743463,pharmgkb:PA28496,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28496,dbv:positive-allosteric-modulator
pharmgkb:PA164743463,pharmgkb:PA28499,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28499,dbv:positive-allosteric-modulator
pharmgkb:PA164743463,pharmgkb:PA28500,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28500,dbv:positive-allosteric-modulator
pharmgkb:PA164743463,pharmgkb:PA28503,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28503,dbv:positive-allosteric-modulator
pharmgkb:PA451974,pharmgkb:PA111,dbv:antagonist
pharmgkb:PA164747026,pharmgkb:PA111,dbv:antagonist
pharmgkb:PA164746757,pharmgkb:PA111,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA192,dbv:antagonist
pharmgkb:PA449027,pharmgkb:PA162399856,dbv:inhibitor
pharmgkb:PA164743463,pharmgkb:PA28489,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28489,dbv:positive-allosteric-modulator
pharmgkb:PA451974,pharmgkb:PA147,dbv:antagonist
pharmgkb:PA449027,pharmgkb:PA298,dbv:inhibitor
pharmgkb:PA451974,pharmgkb:PA193,dbv:antagonist
pharmgkb:PA164743463,pharmgkb:PA28497,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28497,dbv:positive-allosteric-modulator
pharmgkb:PA451974,pharmgkb:PA29552,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA34,dbv:antagonist
pharmgkb:PA451974,pharmgkb:PA29456,dbv:antagonist
pharmgkb:PA164743463,pharmgkb:PA28492,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28492,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28492,dbv:potentiator
pharmgkb:PA164743463,pharmgkb:PA28494,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28494,dbv:positive-allosteric-modulator
pharmgkb:PA164743463,pharmgkb:PA28502,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28502,dbv:positive-allosteric-modulator
pharmgkb:PA451686,pharmgkb:PA134971947,dbv:antagonist
pharmgkb:PA164743463,pharmgkb:PA28504,dbv:positive-allosteric-modulator
pharmgkb:PA448695,pharmgkb:PA28504,dbv:positive-allosteric-modulator
pharmgkb:PA449456,pharmgkb:PA323,dbv:inhibitor
pharmgkb:PA449456,pharmgkb:PA323,dbv:substrate
pharmgkb:PA451721,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA449456,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA449456,pharmgkb:PA389,dbv:inhibitor
pharmgkb:PA451145,pharmgkb:PA331,dbv:inhibitor
pharmgkb:PA449673,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451145,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451145,pharmgkb:PA267,dbv:substrate
pharmgkb:PA449456,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451100,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451100,pharmgkb:PA267,dbv:substrate
pharmgkb:PA449456,pharmgkb:PA328,dbv:substrate
pharmgkb:PA451100,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA449456,pharmgkb:PA35848,dbv:inhibitor
pharmgkb:PA451283,pharmgkb:PA134865839,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA376,dbv:inhibitor
pharmgkb:PA451550,pharmgkb:PA376,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA376,dbv:inhibitor
pharmgkb:PA450704,pharmgkb:PA376,dbv:inducer
pharmgkb:PA164749630,pharmgkb:PA130,dbv:inducer
pharmgkb:PA449167,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA130,dbv:substrate
pharmgkb:PA448383,pharmgkb:PA130,dbv:substrate
pharmgkb:PA451550,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA451550,pharmgkb:PA130,dbv:inducer
pharmgkb:PA451550,pharmgkb:PA130,dbv:substrate
pharmgkb:PA450603,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA450603,pharmgkb:PA130,dbv:substrate
pharmgkb:PA164754919,pharmgkb:PA271,dbv:inducer
pharmgkb:PA164749630,pharmgkb:PA27118,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA450149,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA374,dbv:inhibitor
pharmgkb:PA164746820,pharmgkb:PA164743293,dbv:other-unknown
pharmgkb:PA451578,pharmgkb:PA164743293,dbv:substrate
pharmgkb:PA164746820,pharmgkb:PA164752827,dbv:other-unknown
pharmgkb:PA451578,pharmgkb:PA164752827,dbv:substrate
pharmgkb:PA164746820,pharmgkb:PA164749380,dbv:other-unknown
pharmgkb:PA451578,pharmgkb:PA164749380,dbv:substrate
pharmgkb:PA164746820,pharmgkb:PA24690,dbv:other-unknown
pharmgkb:PA451578,pharmgkb:PA24690,dbv:substrate
pharmgkb:PA448687,pharmgkb:PA27093,dbv:substrate
pharmgkb:PA449167,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449167,pharmgkb:PA267,dbv:inducer
pharmgkb:PA449167,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451550,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA450603,pharmgkb:PA267,dbv:inducer
pharmgkb:PA450524,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA131301952,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA131301952,pharmgkb:PA267,dbv:substrate
pharmgkb:PA449982,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449982,pharmgkb:PA267,dbv:substrate
pharmgkb:PA450704,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451260,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451260,pharmgkb:PA267,dbv:inducer
